Chr	GeneID	Start	Stop	CodingLength	S13_GeneCount	S13_RPKM
chr1	1110058L19Rik	23995939	24005640	667	41	6.69802751436098
chr1	1500015O10Rik	43730602	43742564	888	78	9.57129145962822
chr1	1700001G17Rik	33669824	33670712	889	3	0.367712503943491
chr1	1700007P06Rik	187125138	187127852	823	3	0.397200991501536
chr1	1700009P17Rik	171121661	171126967	1034	30	3.16147404260893
chr1	1700015E13Rik	170308861	170312125	713	12	1.83392098740961
chr1	1700016C15Rik	177729814	177753305	749	7	1.01836889721422
chr1	1700016L21Rik	80445932	80475660	394	0	0
chr1	1700019A02Rik	53158577	53187617	627	0	0
chr1	1700019D03Rik	52925127	52952840	834	0	0
chr1	1700019O17Rik	86426329	86428049	1721	0	0
chr1	1700020N18Rik	91404879	91406029	547	0	0
chr1	1700025G04Rik	151884524	152090320	9754	661	7.38427076002358
chr1	1700027A15Rik	73016036	73025508	571	0	0
chr1	1700034H15Rik	191894072	191907527	4362	9	0.224825595602314
chr1	1700034P13Rik	9747648	9771256	1494	0	0
chr1	1700047M11Rik	182300834	182303289	686	1	0.158841795921168
chr1	1700056E22Rik	184033032	184033998	967	3	0.338052136510614
chr1	1700063A18Rik	95990659	96021758	356	0	0
chr1	1700065J18Rik	192841705	192842739	404	0	0
chr1	1700066B17Rik	39842428	39847330	531	0	0
chr1	1700066M21Rik	57377620	57385422	3007	79	2.86274435921243
chr1	1700067G17Rik	89016113	89022210	603	0	0
chr1	1700084C01Rik	169928939	169934653	1440	28	2.11877306670402
chr1	1700112H15Rik	184527841	184557691	778	0	0
chr1	1810006J02Rik	98131467	98144655	1687	0	0
chr1	2010300C02Rik	37611676	37719811	4361	29	0.724604147685329
chr1	2310007B03Rik	93151355	93160948	2362	10	0.461327146494163
chr1	2310009B15Rik	138851979	138856854	571	20	3.81665401057518
chr1	2310030A07Rik	150320681	150346771	610	0	0
chr1	2310035C23Rik	105663861	105755131	5406	329	6.63145399345766
chr1	2310043L19Rik	177641542	177642943	698	0	0
chr1	2410088K16Rik	88754890	88755733	476	0	0
chr1	2610203C22Rik	9560833	9631092	1245	3	0.262567402414268
chr1	2610207O16Rik	42707063	42713454	461	0	0
chr1	2810025M15Rik	157412352	157420236	1194	122	11.1338254474325
chr1	2810408I11Rik	64679869	64690659	713	6	0.916960493704807
chr1	2810442N19Rik	162004969	162016485	919	0	0
chr1	2810459M11Rik	86045863	86055456	3331	22	0.719675888334515
chr1	2900009J06Rik	127753617	127774054	464	1	0.234839379314486
chr1	2900060B14Rik	118458669	118459265	597	0	0
chr1	2900092D14Rik	42700336	42703176	2841	1	0.0383546187968748
chr1	3110009E18Rik	120121187	120188189	1089	17	1.70102206063605
chr1	3110035E14Rik	9601267	9627142	3187	13	0.44447792156416
chr1	3110045C21Rik	169969409	169972396	1135	5	0.480024105735336
chr1	3110079O15Rik	87470264	87475459	462	0	0
chr1	4930440C22Rik	94797442	94802472	1565	0	0
chr1	4930444P10Rik	16065979	16093041	717	43	6.53488883693531
chr1	4930448I06Rik	41167560	41181252	573	0	0
chr1	4930452N14Rik	154241521	154256906	613	0	0
chr1	4930469G21Rik	161156843	161159314	954	0	0
chr1	4930486I03Rik	20356454	20392300	786	0	0
chr1	4930487H11Rik	62790918	62794732	895	0	0
chr1	4930488B22Rik	184712497	184718989	1722	0	0
chr1	4930503O07Rik	194212187	194222759	578	0	0
chr1	4930521E06Rik	44739675	44744949	906	6	0.72162564239683
chr1	4930523C07Rik	160044380	160078586	5390	496	10.0272493716054
chr1	4930532M18Rik	154255689	154270416	481	0	0
chr1	4930533P14Rik	96612057	96662573	583	0	0
chr1	4930558J18Rik	57359222	57377544	2052	6	0.318612491233688
chr1	4930558K02Rik	161942089	161979636	1164	0	0
chr1	4930562F07Rik	160074735	160077985	887	1	0.122847206315582
chr1	4930568G15Rik	165066617	165091930	998	0	0
chr1	4930590L20Rik	140570176	140656402	551	0	0
chr1	4930594C11Rik	37485851	37488605	2755	3	0.118655686390477
chr1	4930596I21Rik	138977657	138979246	460	0	0
chr1	4930598F16Rik	95701184	95716518	761	0	0
chr1	4931408C20Rik	26681801	26687460	4331	0	0
chr1	4931428L18Rik	31141078	31222656	1094	6	0.597616848273791
chr1	4931440L10Rik	134540941	134549682	1832	0	0
chr1	4933400F21Rik	89676507	89683892	3611	2	0.0603519645538196
chr1	4933402D24Rik	63754909	63769267	1756	4	0.248212920277725
chr1	4933406M09Rik	134385940	134390983	1770	0	0
chr1	4933407L21Rik	85928483	85931756	1148	0	0
chr1	4933415F23Rik	23100474	23102253	1780	0	0
chr1	4933417E11Rik	71958998	72005195	1093	0	0
chr1	4933424G06Rik	36714538	36757960	1127	2	0.193372621121422
chr1	4933436E23Rik	139379452	139402852	1111	0	0
chr1	4933439K11Rik	172541620	172550806	941	1	0.115797526038174
chr1	5033404E19Rik	185497306	185498014	709	0	0
chr1	5430435G22Rik	131688695	131713464	2523	72	3.10959729850905
chr1	5730559C18Rik	136213522	136234280	3013	60	2.16990651182054
chr1	5830403L16Rik	153849542	153851195	1654	2	0.131759941961211
chr1	6030407O03Rik	73618381	73864466	1801	2	0.121005521379146
chr1	6330403A02Rik	180432373	180483504	6557	14	0.232654660367073
chr1	6430706D22Rik	88263113	88269408	3638	0	0
chr1	6720483E21Rik	20888650	20890473	1120	2	0.194581200003431
chr1	7420461P10Rik	162647243	162658219	741	0	0
chr1	9130024F11Rik	56971469	56975196	3728	2	0.0584578712456659
chr1	9130227L01Rik	55931241	55972098	1906	0	0
chr1	9130409I23Rik	181051237	181060667	1898	8	0.459285445740448
chr1	9230116N13Rik	136411916	136415519	2097	4	0.207850208873479
chr1	9330162B11Rik	188006576	188008990	2212	0	0
chr1	9330175M20Rik	51218386	51333779	2552	1	0.0426980689662701
chr1	9430016H08Rik	57406548	57415958	1325	80	6.57904736615374
chr1	9430060I03Rik	92933543	92950590	1672	3	0.195512210529763
chr1	9530026F06Rik	61378432	61395904	892	5	0.610793004495074
chr1	9630028B13Rik	185429357	185441819	3406	5	0.159961056961129
chr1	9930111H07Rik	85775271	85784694	821	10	1.32722864801366
chr1	A130010J15Rik	193173469	193177832	3834	47	1.33577912991401
chr1	A230020J21Rik	191025351	191029781	1649	2	0.132159456642718
