Chr	GeneID	Start	Stop	CodingLength	S9_GeneCount	S9_RPKM
chr1	1110058L19Rik	23995939	24005640	667	51	8.67501356820175
chr1	1500015O10Rik	43730602	43742564	888	34	4.34401955704997
chr1	1700001G17Rik	33669824	33670712	889	2	0.255243126226453
chr1	1700007P06Rik	187125138	187127852	823	0	0
chr1	1700009P17Rik	171121661	171126967	1034	37	4.05982212329144
chr1	1700015E13Rik	170308861	170312125	713	12	1.90949065258331
chr1	1700016C15Rik	177729814	177753305	749	0	0
chr1	1700016L21Rik	80445932	80475660	394	0	0
chr1	1700019A02Rik	53158577	53187617	627	0	0
chr1	1700019D03Rik	52925127	52952840	834	0	0
chr1	1700019O17Rik	86426329	86428049	1721	0	0
chr1	1700020N18Rik	91404879	91406029	547	0	0
chr1	1700025G04Rik	151884524	152090320	9754	531	6.17643094747452
chr1	1700027A15Rik	73016036	73025508	571	0	0
chr1	1700034H15Rik	191894072	191907527	4362	2	0.0520199768948456
chr1	1700034P13Rik	9747648	9771256	1494	0	0
chr1	1700047M11Rik	182300834	182303289	686	0	0
chr1	1700056E22Rik	184033032	184033998	967	4	0.469309491655256
chr1	1700063A18Rik	95990659	96021758	356	0	0
chr1	1700065J18Rik	192841705	192842739	404	0	0
chr1	1700066B17Rik	39842428	39847330	531	0	0
chr1	1700066M21Rik	57377620	57385422	3007	74	2.7920559198426
chr1	1700067G17Rik	89016113	89022210	603	0	0
chr1	1700084C01Rik	169928939	169934653	1440	40	3.15154360021273
chr1	1700112H15Rik	184527841	184557691	778	0	0
chr1	1810006J02Rik	98131467	98144655	1687	0	0
chr1	2010300C02Rik	37611676	37719811	4361	37	0.962590248906983
chr1	2310007B03Rik	93151355	93160948	2362	15	0.720505310802232
chr1	2310009B15Rik	138851979	138856854	571	22	4.37131791833359
chr1	2310030A07Rik	150320681	150346771	610	0	0
chr1	2310035C23Rik	105663861	105755131	5406	424	8.89847604765946
chr1	2310043L19Rik	177641542	177642943	698	0	0
chr1	2410088K16Rik	88754890	88755733	476	1	0.238352036990878
chr1	2610203C22Rik	9560833	9631092	1245	0	0
chr1	2610207O16Rik	42707063	42713454	461	0	0
chr1	2810025M15Rik	157412352	157420236	1194	138	13.1129552812871
chr1	2810408I11Rik	64679869	64690659	713	20	3.18248442097218
chr1	2810442N19Rik	162004969	162016485	919	6	0.740732772193633
chr1	2810459M11Rik	86045863	86055456	3331	8	0.272484105932532
chr1	2900009J06Rik	127753617	127774054	464	0	0
chr1	2900060B14Rik	118458669	118459265	597	0	0
chr1	2900092D14Rik	42700336	42703176	2841	10	0.399350825792531
