Chr	GeneID	Start	Stop	CodingLength	S15_GeneCount	S15_RPKM
chr1	1110058L19Rik	23995939	24005640	667	52	9.31638729305545
chr1	1500015O10Rik	43730602	43742564	888	32	4.30632732118363
chr1	1700001G17Rik	33669824	33670712	889	0	0
chr1	1700007P06Rik	187125138	187127852	823	0	0
chr1	1700009P17Rik	171121661	171126967	1034	42	4.85398887121811
chr1	1700015E13Rik	170308861	170312125	713	2	0.335205001859315
chr1	1700016C15Rik	177729814	177753305	749	0	0
chr1	1700016L21Rik	80445932	80475660	394	0	0
chr1	1700019A02Rik	53158577	53187617	627	0	0
chr1	1700019D03Rik	52925127	52952840	834	0	0
chr1	1700019O17Rik	86426329	86428049	1721	0	0
chr1	1700020N18Rik	91404879	91406029	547	8	1.74772333693376
chr1	1700025G04Rik	151884524	152090320	9754	620	7.59589517746201
chr1	1700027A15Rik	73016036	73025508	571	0	0
chr1	1700034H15Rik	191894072	191907527	4362	12	0.328749884904665
chr1	1700034P13Rik	9747648	9771256	1494	0	0
chr1	1700047M11Rik	182300834	182303289	686	0	0
chr1	1700056E22Rik	184033032	184033998	967	2	0.247157359178585
chr1	1700063A18Rik	95990659	96021758	356	0	0
chr1	1700065J18Rik	192841705	192842739	404	0	0
chr1	1700066B17Rik	39842428	39847330	531	0	0
chr1	1700066M21Rik	57377620	57385422	3007	48	1.90755836109631
chr1	1700067G17Rik	89016113	89022210	603	0	0
chr1	1700084C01Rik	169928939	169934653	1440	59	4.89620444903327
chr1	1700112H15Rik	184527841	184557691	778	0	0
chr1	1810006J02Rik	98131467	98144655	1687	0	0
chr1	2010300C02Rik	37611676	37719811	4361	30	0.82206317241123
chr1	2310007B03Rik	93151355	93160948	2362	16	0.809487438867711
chr1	2310009B15Rik	138851979	138856854	571	30	6.27848948316178
chr1	2310030A07Rik	150320681	150346771	610	0	0
chr1	2310035C23Rik	105663861	105755131	5406	326	7.20628747892855
chr1	2310043L19Rik	177641542	177642943	698	0	0
chr1	2410088K16Rik	88754890	88755733	476	0	0
chr1	2610203C22Rik	9560833	9631092	1245	0	0
chr1	2610207O16Rik	42707063	42713454	461	0	0
chr1	2810025M15Rik	157412352	157420236	1194	262	26.2220710122828
chr1	2810408I11Rik	64679869	64690659	713	33	5.5308825306787
chr1	2810442N19Rik	162004969	162016485	919	0	0
chr1	2810459M11Rik	86045863	86055456	3331	33	1.18388449245689
chr1	2900009J06Rik	127753617	127774054	464	0	0
chr1	2900060B14Rik	118458669	118459265	597	1	0.200168481009792
chr1	2900092D14Rik	42700336	42703176	2841	3	0.126188577785476
chr1	3110009E18Rik	120121187	120188189	1089	39	4.27963520968869
chr1	3110035E14Rik	9601267	9627142	3187	4	0.149985043191523
chr1	3110045C21Rik	169969409	169972396	1135	4	0.421147429648796
chr1	3110079O15Rik	87470264	87475459	462	0	0
chr1	4930440C22Rik	94797442	94802472	1565	0	0
chr1	4930444P10Rik	16065979	16093041	717	18	3.00001464007144
chr1	4930448I06Rik	41167560	41181252	573	0	0
chr1	4930452N14Rik	154241521	154256906	613	0	0
chr1	4930469G21Rik	161156843	161159314	954	0	0
chr1	4930486I03Rik	20356454	20392300	786	0	0
chr1	4930487H11Rik	62790918	62794732	895	0	0
chr1	4930488B22Rik	184712497	184718989	1722	0	0
chr1	4930503O07Rik	194212187	194222759	578	0	0
chr1	4930521E06Rik	44739675	44744949	906	0	0
chr1	4930523C07Rik	160044380	160078586	5390	445	9.86600361919599
chr1	4930532M18Rik	154255689	154270416	481	0	0
chr1	4930533P14Rik	96612057	96662573	583	0	0
chr1	4930558J18Rik	57359222	57377544	2052	33	1.92179300408085
chr1	4930558K02Rik	161942089	161979636	1164	0	0
chr1	4930562F07Rik	160074735	160077985	887	0	0
chr1	4930568G15Rik	165066617	165091930	998	0	0
chr1	4930590L20Rik	140570176	140656402	551	0	0
chr1	4930594C11Rik	37485851	37488605	2755	11	0.477134814806281
chr1	4930596I21Rik	138977657	138979246	460	0	0
chr1	4930598F16Rik	95701184	95716518	761	0	0
chr1	4931408C20Rik	26681801	26687460	4331	0	0
chr1	4931428L18Rik	31141078	31222656	1094	0	0
chr1	4931440L10Rik	134540941	134549682	1832	0	0
chr1	4933400F21Rik	89676507	89683892	3611	0	0
chr1	4933402D24Rik	63754909	63769267	1756	7	0.476369067277859
chr1	4933406M09Rik	134385940	134390983	1770	4	0.270057815057279
chr1	4933407L21Rik	85928483	85931756	1148	1	0.104094584636625
chr1	4933415F23Rik	23100474	23102253	1780	1	0.0671351590802505
chr1	4933417E11Rik	71958998	72005195	1093	0	0
chr1	4933424G06Rik	36714538	36757960	1127	3	0.318102705846085
chr1	4933436E23Rik	139379452	139402852	1111	0	0
chr1	4933439K11Rik	172541620	172550806	941	0	0
chr1	5033404E19Rik	185497306	185498014	709	0	0
chr1	5430435G22Rik	131688695	131713464	2523	143	6.77312064696272
chr1	5730559C18Rik	136213522	136234280	3013	345	13.6832728812419
chr1	5830403L16Rik	153849542	153851195	1654	0	0
chr1	6030407O03Rik	73618381	73864466	1801	0	0
chr1	6330403A02Rik	180432373	180483504	6557	9	0.164023981769958
chr1	6430706D22Rik	88263113	88269408	3638	0	0
chr1	6720483E21Rik	20888650	20890473	1120	1	0.106696949252541
chr1	7420461P10Rik	162647243	162658219	741	0	0
chr1	9130024F11Rik	56971469	56975196	3728	7	0.224384142204914
chr1	9130227L01Rik	55931241	55972098	1906	0	0
chr1	9130409I23Rik	181051237	181060667	1898	0	0
chr1	9230116N13Rik	136411916	136415519	2097	23	1.31068832272077
chr1	9330162B11Rik	188006576	188008990	2212	0	0
chr1	9330175M20Rik	51218386	51333779	2552	0	0
chr1	9430016H08Rik	57406548	57415958	1325	129	11.6343963984959
chr1	9430060I03Rik	92933543	92950590	1672	0	0
chr1	9530026F06Rik	61378432	61395904	892	2	0.267938527270955
chr1	9630028B13Rik	185429357	185441819	3406	1	0.0350853150801074
chr1	9930111H07Rik	85775271	85784694	821	4	0.582219650001685
chr1	A130010J15Rik	193173469	193177832	3834	44	1.37142035971967
chr1	A230020J21Rik	191025351	191029781	1649	0	0
chr1	A330023F24Rik	195017399	195037908	5195	39	0.897116986208082
chr1	A530032D15Rik	85088139	85109853	1760	0	0
chr1	A630001G21Rik	85717083	85736606	1936	6	0.370353046992291
chr1	A630095N17Rik	75220095	75232093	767	0	0
chr1	A730008H23Rik	88264828	88277557	2217	5	0.269509659816973
chr1	A830018L16Rik	11414105	11975902	8293	6	0.0864588808606144
chr1	AA619741	34633535	34636210	2676	0	0
chr1	AA986860	130731976	130744622	2909	29	1.19130866680046
chr1	AI597479	43098710	43115946	3457	201	6.94811027357015
chr1	AI607873	173723428	173741809	3483	67	2.29874793910728
chr1	Aamp	74279840	74284738	1820	1015	66.644555994664
chr1	Abca12	71243090	71414910	8323	0	0
chr1	Abcb6	75171641	75180283	2933	116	4.72624195257079
chr1	Abi2	60409619	60481163	5974	854	17.082942420668
chr1	Abl2	156558787	156649619	10714	642	7.16066589420824
chr1	Acadl	66830839	66863309	1948	600	36.8071611384536
chr1	Acbd3	180726043	180754204	3471	655	22.5505277936226
