Chr	GeneID	Start	Stop	CodingLength	S6_GeneCount	S6_RPKM
chr1	1110058L19Rik	23995939	24005640	667	17	2.75560309030681
chr1	1500015O10Rik	43730602	43742564	888	72	8.76623495024472
chr1	1700001G17Rik	33669824	33670712	889	2	0.243232615792317
chr1	1700007P06Rik	187125138	187127852	823	2	0.262738512076998
chr1	1700009P17Rik	171121661	171126967	1034	23	2.40492132258487
chr1	1700015E13Rik	170308861	170312125	713	14	2.12291243769367
chr1	1700016C15Rik	177729814	177753305	749	1	0.144348328063665
chr1	1700016L21Rik	80445932	80475660	394	0	0
chr1	1700019A02Rik	53158577	53187617	627	0	0
chr1	1700019D03Rik	52925127	52952840	834	0	0
chr1	1700019O17Rik	86426329	86428049	1721	0	0
chr1	1700020N18Rik	91404879	91406029	547	0	0
chr1	1700025G04Rik	151884524	152090320	9754	544	6.02989464419813
chr1	1700027A15Rik	73016036	73025508	571	0	0
chr1	1700034H15Rik	191894072	191907527	4362	9	0.223074754579818
chr1	1700034P13Rik	9747648	9771256	1494	0	0
chr1	1700047M11Rik	182300834	182303289	686	0	0
chr1	1700056E22Rik	184033032	184033998	967	1	0.111806512636696
chr1	1700063A18Rik	95990659	96021758	356	0	0
chr1	1700065J18Rik	192841705	192842739	404	0	0
chr1	1700066B17Rik	39842428	39847330	531	0	0
chr1	1700066M21Rik	57377620	57385422	3007	42	1.51011297114292
chr1	1700067G17Rik	89016113	89022210	603	0	0
chr1	1700084C01Rik	169928939	169934653	1440	26	1.95211065327209
chr1	1700112H15Rik	184527841	184557691	778	2	0.277935469716414
chr1	1810006J02Rik	98131467	98144655	1687	0	0
chr1	2010300C02Rik	37611676	37719811	4361	78	1.93375785877905
chr1	2310007B03Rik	93151355	93160948	2362	13	0.595054898541873
chr1	2310009B15Rik	138851979	138856854	571	28	5.30170426646441
chr1	2310030A07Rik	150320681	150346771	610	3	0.531722447801729
chr1	2310035C23Rik	105663861	105755131	5406	397	7.93977217808267
chr1	2310043L19Rik	177641542	177642943	698	0	0
chr1	2410088K16Rik	88754890	88755733	476	0	0
chr1	2610203C22Rik	9560833	9631092	1245	1	0.0868408817025581
chr1	2610207O16Rik	42707063	42713454	461	0	0
chr1	2810025M15Rik	157412352	157420236	1194	118	10.6849195401364
chr1	2810408I11Rik	64679869	64690659	713	7	1.06145621884684
chr1	2810442N19Rik	162004969	162016485	919	3	0.352938730314532
chr1	2810459M11Rik	86045863	86055456	3331	4	0.129831159074974
chr1	2900009J06Rik	127753617	127774054	464	0	0
chr1	2900060B14Rik	118458669	118459265	597	0	0
chr1	2900092D14Rik	42700336	42703176	2841	0	0
chr1	3110009E18Rik	120121187	120188189	1089	15	1.48921346721329
chr1	3110035E14Rik	9601267	9627142	3187	2	0.0678486964039441
chr1	3110045C21Rik	169969409	169972396	1135	3	0.285771535822956
chr1	3110079O15Rik	87470264	87475459	462	0	0
chr1	4930440C22Rik	94797442	94802472	1565	0	0
chr1	4930444P10Rik	16065979	16093041	717	49	7.38874196410678
chr1	4930448I06Rik	41167560	41181252	573	0	0
chr1	4930452N14Rik	154241521	154256906	613	0	0
chr1	4930469G21Rik	161156843	161159314	954	1	0.113330081467175
chr1	4930486I03Rik	20356454	20392300	786	0	0
chr1	4930487H11Rik	62790918	62794732	895	0	0
chr1	4930488B22Rik	184712497	184718989	1722	0	0
chr1	4930503O07Rik	194212187	194222759	578	0	0
chr1	4930521E06Rik	44739675	44744949	906	1	0.119334324193913
chr1	4930523C07Rik	160044380	160078586	5390	446	8.94622196344702
chr1	4930532M18Rik	154255689	154270416	481	0	0
chr1	4930533P14Rik	96612057	96662573	583	0	0
chr1	4930558J18Rik	57359222	57377544	2052	0	0
chr1	4930558K02Rik	161942089	161979636	1164	0	0
chr1	4930562F07Rik	160074735	160077985	887	3	0.365671581915507
chr1	4930568G15Rik	165066617	165091930	998	0	0
chr1	4930590L20Rik	140570176	140656402	551	0	0
chr1	4930594C11Rik	37485851	37488605	2755	3	0.117731649059548
chr1	4930596I21Rik	138977657	138979246	460	0	0
chr1	4930598F16Rik	95701184	95716518	761	0	0
chr1	4931408C20Rik	26681801	26687460	4331	0	0
chr1	4931428L18Rik	31141078	31222656	1094	0	0
chr1	4931440L10Rik	134540941	134549682	1832	0	0
chr1	4933400F21Rik	89676507	89683892	3611	2	0.0598819704899944
chr1	4933402D24Rik	63754909	63769267	1756	1	0.0615699873118934
chr1	4933406M09Rik	134385940	134390983	1770	0	0
chr1	4933407L21Rik	85928483	85931756	1148	0	0
chr1	4933415F23Rik	23100474	23102253	1780	1	0.0607398301795982
chr1	4933417E11Rik	71958998	72005195	1093	0	0
chr1	4933424G06Rik	36714538	36757960	1127	1	0.0959333608870318
chr1	4933436E23Rik	139379452	139402852	1111	0	0
chr1	4933439K11Rik	172541620	172550806	941	2	0.229791493559373
chr1	5033404E19Rik	185497306	185498014	709	0	0
chr1	5430435G22Rik	131688695	131713464	2523	133	5.69938462018156
chr1	5730559C18Rik	136213522	136234280	3013	74	2.65537684409448
chr1	5830403L16Rik	153849542	153851195	1654	0	0
chr1	6030407O03Rik	73618381	73864466	1801	0	0
chr1	6330403A02Rik	180432373	180483504	6557	9	0.148398975061334
chr1	6430706D22Rik	88263113	88269408	3638	0	0
chr1	6720483E21Rik	20888650	20890473	1120	0	0
chr1	7420461P10Rik	162647243	162658219	741	0	0
chr1	9130024F11Rik	56971469	56975196	3728	0	0
chr1	9130227L01Rik	55931241	55972098	1906	1	0.0567245003775891
chr1	9130409I23Rik	181051237	181060667	1898	9	0.512672328491656
chr1	9230116N13Rik	136411916	136415519	2097	5	0.257789455697866
chr1	9330162B11Rik	188006576	188008990	2212	1	0.0488774401987725
chr1	9330175M20Rik	51218386	51333779	2552	0	0
chr1	9430016H08Rik	57406548	57415958	1325	95	7.75177757235477
chr1	9430060I03Rik	92933543	92950590	1672	2	0.129326432679049
chr1	9530026F06Rik	61378432	61395904	892	1	0.121207284439109
chr1	9630028B13Rik	185429357	185441819	3406	0	0
chr1	9930111H07Rik	85775271	85784694	821	5	0.658446392933526
chr1	A130010J15Rik	193173469	193177832	3834	49	1.38177568812326
chr1	A230020J21Rik	191025351	191029781	1649	0	0
chr1	A330023F24Rik	195017399	195037908	5195	46	0.957339229086719
chr1	A530032D15Rik	85088139	85109853	1760	0	0
chr1	A630001G21Rik	85717083	85736606	1936	7	0.390918535143489
chr1	A630095N17Rik	75220095	75232093	767	0	0
chr1	A730008H23Rik	88264828	88277557	2217	1	0.0487672069100969
chr1	A830018L16Rik	11414105	11975902	8293	6	0.0782227645385397
chr1	AA619741	34633535	34636210	2676	0	0
chr1	AA986860	130731976	130744622	2909	32	1.18932304126157
chr1	AI597479	43098710	43115946	3457	189	5.91093250477884
chr1	AI607873	173723428	173741809	3483	121	3.75599903074415
chr1	Aamp	74279840	74284738	1820	927	55.0683319704109
chr1	Abca12	71243090	71414910	8323	0	0
chr1	Abcb6	75171641	75180283	2933	135	4.9763999973261
chr1	Abi2	60409619	60481163	5974	1231	22.2785237852247
chr1	Abl2	156558787	156649619	10714	585	5.9033400378958
chr1	Acadl	66830839	66863309	1948	401	22.2560965018448
chr1	Acbd3	180726043	180754204	3471	617	19.2187052414421
chr1	Acbd6	155558120	155687233	1942	148	8.23959879635086
chr1	Ackr1	173331886	173333503	1158	18	1.68057353968422
chr1	Ackr3	90203980	90215722	2319	429	20.0009267450387
chr1	Acmsd	127729413	127767564	2303	6	0.28167667664703
chr1	Acsl3	78657825	78707743	3950	1701	46.5586944357428
chr1	Actr1b	36699202	36709925	2077	784	40.8106152201411
chr1	Actr3	125392905	125435727	2746	2089	82.24916217641
chr1	Adam23	63445904	63596515	6877	11	0.172936727485318
chr1	Adamts4	171250422	171259922	3673	1112	32.7323687079471
chr1	Adck3	180165238	180196020	4076	40	1.06100979116472
chr1	Adcy10	165485183	165576773	5209	0	0
chr1	Adhfe1	9548046	9577968	3139	55	1.89437061949113
chr1	Adipor1	134415467	134432341	2024	1752	93.5873541526126
chr1	Adora1	134199215	134235457	5819	556	10.3304683162304
